timestamp,runId,algorithm,serverId,method,path,statusCode,responseTimeMs,error,activeConnections
1785532995153,custom_least-connections_steady_1785532995042,least-connections,server-1,GET,/api/work,200,27,,6
1785532995154,custom_least-connections_steady_1785532995042,least-connections,server-2,GET,/api/work,200,26,,6
1785532995154,custom_least-connections_steady_1785532995042,least-connections,server-1,GET,/api/work,200,28,,5
1785532995154,custom_least-connections_steady_1785532995042,least-connections,server-2,GET,/api/work,200,29,,5
1785532995154,custom_least-connections_steady_1785532995042,least-connections,server-3,GET,/api/work,200,30,,5
1785532995155,custom_least-connections_steady_1785532995042,least-connections,server-2,GET,/api/work,200,30,,4
1785532995154,custom_least-connections_steady_1785532995042,least-connections,server-3,GET,/api/work,200,32,,4
1785532995155,custom_least-connections_steady_1785532995042,least-connections,server-2,GET,/api/work,200,32,,3
1785532995155,custom_least-connections_steady_1785532995042,least-connections,server-3,GET,/api/work,200,32,,3
1785532995155,custom_least-connections_steady_1785532995042,least-connections,server-3,GET,/api/work,200,33,,2
1785532995156,custom_least-connections_steady_1785532995042,least-connections,server-3,GET,/api/work,200,32,,1
1785532995154,custom_least-connections_steady_1785532995042,least-connections,server-1,GET,/api/work,200,35,,4
1785532995155,custom_least-connections_steady_1785532995042,least-connections,server-1,GET,/api/work,200,34,,3
1785532995155,custom_least-connections_steady_1785532995042,least-connections,server-1,GET,/api/work,200,35,,2
1785532995156,custom_least-connections_steady_1785532995042,least-connections,server-1,GET,/api/work,200,34,,1
1785532995156,custom_least-connections_steady_1785532995042,least-connections,server-1,GET,/api/work,200,34,,0
1785532995156,custom_least-connections_steady_1785532995042,least-connections,server-3,GET,/api/work,200,35,,0
1785532995155,custom_least-connections_steady_1785532995042,least-connections,server-2,GET,/api/work,200,36,,2
1785532995156,custom_least-connections_steady_1785532995042,least-connections,server-2,GET,/api/work,200,36,,1
1785532995156,custom_least-connections_steady_1785532995042,least-connections,server-2,GET,/api/work,200,36,,0
1785532995193,custom_least-connections_steady_1785532995042,least-connections,server-1,GET,/api/work,200,26,,6
1785532995193,custom_least-connections_steady_1785532995042,least-connections,server-2,GET,/api/work,200,29,,6
1785532995194,custom_least-connections_steady_1785532995042,least-connections,server-2,GET,/api/work,200,29,,5
1785532995193,custom_least-connections_steady_1785532995042,least-connections,server-3,GET,/api/work,200,31,,5
1785532995194,custom_least-connections_steady_1785532995042,least-connections,server-3,GET,/api/work,200,31,,4
1785532995193,custom_least-connections_steady_1785532995042,least-connections,server-1,GET,/api/work,200,34,,5
1785532995194,custom_least-connections_steady_1785532995042,least-connections,server-1,GET,/api/work,200,34,,4
1785532995195,custom_least-connections_steady_1785532995042,least-connections,server-2,GET,/api/work,200,34,,4
1785532995196,custom_least-connections_steady_1785532995042,least-connections,server-3,GET,/api/work,200,34,,4
1785532995198,custom_least-connections_steady_1785532995042,least-connections,server-2,GET,/api/work,200,33,,3
1785532995197,custom_least-connections_steady_1785532995042,least-connections,server-1,GET,/api/work,200,35,,4
1785532995198,custom_least-connections_steady_1785532995042,least-connections,server-3,GET,/api/work,200,35,,3
1785532995199,custom_least-connections_steady_1785532995042,least-connections,server-1,GET,/api/work,200,36,,3
1785532995200,custom_least-connections_steady_1785532995042,least-connections,server-2,GET,/api/work,200,36,,3
1785532995200,custom_least-connections_steady_1785532995042,least-connections,server-3,GET,/api/work,200,37,,3
1785532995201,custom_least-connections_steady_1785532995042,least-connections,server-1,GET,/api/work,200,37,,3
1785532995202,custom_least-connections_steady_1785532995042,least-connections,server-3,GET,/api/work,200,37,,2
1785532995201,custom_least-connections_steady_1785532995042,least-connections,server-2,GET,/api/work,200,39,,2
1785532995203,custom_least-connections_steady_1785532995042,least-connections,server-2,GET,/api/work,200,38,,2
1785532995202,custom_least-connections_steady_1785532995042,least-connections,server-1,GET,/api/work,200,40,,2
1785532995226,custom_least-connections_steady_1785532995042,least-connections,server-3,GET,/api/work,200,27,,5
1785532995231,custom_least-connections_steady_1785532995042,least-connections,server-1,GET,/api/work,200,29,,6
1785532995234,custom_least-connections_steady_1785532995042,least-connections,server-2,GET,/api/work,200,27,,6
1785532995234,custom_least-connections_steady_1785532995042,least-connections,server-3,GET,/api/work,200,28,,5
1785532995237,custom_least-connections_steady_1785532995042,least-connections,server-1,GET,/api/work,200,27,,6
1785532995241,custom_least-connections_steady_1785532995042,least-connections,server-2,GET,/api/work,200,26,,6
1785532995243,custom_least-connections_steady_1785532995042,least-connections,server-3,GET,/api/work,200,27,,5
1785532995243,custom_least-connections_steady_1785532995042,least-connections,server-1,GET,/api/work,200,28,,6
1785532995244,custom_least-connections_steady_1785532995042,least-connections,server-3,GET,/api/work,200,28,,4
1785532995244,custom_least-connections_steady_1785532995042,least-connections,server-1,GET,/api/work,200,28,,5
1785532995243,custom_least-connections_steady_1785532995042,least-connections,server-2,GET,/api/work,200,30,,6
1785532995244,custom_least-connections_steady_1785532995042,least-connections,server-2,GET,/api/work,200,31,,5
1785532995244,custom_least-connections_steady_1785532995042,least-connections,server-2,GET,/api/work,200,32,,4
1785532995245,custom_least-connections_steady_1785532995042,least-connections,server-2,GET,/api/work,200,32,,3
1785532995244,custom_least-connections_steady_1785532995042,least-connections,server-1,GET,/api/work,200,34,,4
1785532995245,custom_least-connections_steady_1785532995042,least-connections,server-1,GET,/api/work,200,34,,3
